quarter,month,ADM1_NAME,ADM1_CODE,inadequate
2023Q2,4,Yobe,2240,0.548469387755102
2023Q2,4,Zamfara,65710,0.5096774193548387
2023Q2,5,Abia,65698,0.22666666666666666
2023Q2,5,Abuja,2221,0.25236593059936907
2023Q2,5,Adamawa,2211,0.3854166666666667
2023Q2,5,Akwa Ibom,2212,0.33774834437086093
2023Q2,5,Bauchi,65699,0.5733333333333334
2023Q2,5,Benue,2215,0.2866666666666667
2023Q2,5,Borno,2216,0.45759368836291914
2023Q2,5,Cross River,2217,0.28289473684210525
2023Q2,5,Edo,2219,0.25333333333333335
2023Q2,5,Enugu,65703,0.23448275862068965
2023Q2,5,Gombe,65704,0.5197368421052632
2023Q2,5,Jigawa,2223,0.5032258064516129
2023Q2,5,Kaduna,2224,0.45098039215686275
2023Q2,5,Kano,2225,0.47678018575851394
2023Q2,5,Katsina,2226,0.6305732484076433
2023Q2,5,Kebbi,2227,0.58125
2023Q2,5,Kogi,2228,0.32894736842105265
2023Q2,5,Kwara,2229,0.3096774193548387
2023Q2,5,Lagos,2230,0.2197452229299363
2023Q2,5,Nassarawa,65705,0.3548387096774194
2023Q2,5,Niger,2231,0.4900662251655629
2023Q2,5,Ogun,2232,0.27388535031847133
2023Q2,5,Plateau,65707,0.43870967741935485
2023Q2,5,Rivers,65708,0.2679738562091503
2023Q2,5,Sokoto,65709,0.5324675324675324
2023Q2,5,Taraba,2239,0.4407894736842105
2023Q2,5,Yobe,2240,0.4587378640776699
2023Q2,5,Zamfara,65710,0.577922077922078
2023Q2,6,Abia,65698,0.2635135135135135
2023Q2,6,Abuja,2221,0.20846905537459284
2023Q2,6,Adamawa,2211,0.39775910364145656
2023Q2,6,Akwa Ibom,2212,0.3443708609271523
2023Q2,6,Bauchi,65699,0.5136986301369864
2023Q2,6,Benue,2215,0.2733333333333333
2023Q2,6,Borno,2216,0.4883720930232558
2023Q2,6,Cross River,2217,0.2925170068027211
2023Q2,6,Edo,2219,0.2972972972972973
2023Q2,6,Enugu,65703,0.25
2023Q2,6,Gombe,65704,0.4527027027027027
2023Q2,6,Jigawa,2223,0.4722222222222222
2023Q2,6,Kaduna,2224,0.5136986301369864
2023Q2,6,Kano,2225,0.46779661016949153
2023Q2,6,Katsina,2226,0.5918367346938775
2023Q2,6,Kebbi,2227,0.5202702702702703
2023Q2,6,Kogi,2228,0.31756756756756754
2023Q2,6,Kwara,2229,0.23841059602649006
2023Q2,6,Lagos,2230,0.20261437908496732
2023Q2,6,Nassarawa,65705,0.3877551020408163
2023Q2,6,Niger,2231,0.4900662251655629
2023Q2,6,Ogun,2232,0.272108843537415
2023Q2,6,Plateau,65707,0.42953020134228187
2023Q2,6,Rivers,65708,0.2953020134228188
2023Q2,6,Sokoto,65709,0.5704697986577181
2023Q2,6,Taraba,2239,0.5
2023Q2,6,Yobe,2240,0.5415676959619953
2023Q2,6,Zamfara,65710,0.5608108108108109
2023Q3,7,Abia,65698,0.4129032258064516
2023Q3,7,Abuja,2221,0.29260450160771706
2023Q3,7,Adamawa,2211,0.45454545454545453
2023Q3,7,Akwa Ibom,2212,0.34210526315789475
2023Q3,7,Bauchi,65699,0.5974842767295597
