country_id,country_name,region_id,region_name,variable_id,variable_name,sensor_id,sensor_name,class_id,class_name,date,value
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20021201,0.312
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20021211,0.333
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20021221,0.343
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030101,0.433
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030111,1.32
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030211,1.72
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030221,0.799
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030301,0.929
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030311,0.868
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030321,0.826
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030401,0.792
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030411,0.775
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030421,0.762
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030501,0.71
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030511,0.688
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030521,0.629
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030601,0.609
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030611,0.584
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030621,0.62
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030701,0.685
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030711,0.752
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030721,0.497
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030801,0.621
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030811,0.755
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030821,0.623
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030901,0.544
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030911,0.433
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20030921,0.272
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20031001,0.28
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20031011,0.273
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20031021,0.276
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20031101,0.295
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20031111,0.282
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20031121,0.278
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20031201,0.203
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20031211,0.1
155,Nigeria,535,Lagos,240,FPAR Cumulated - zscore,3,MODIS,1,Crop during growing cycle,20031221,0.062
