time,NAME_1,inadequate,bnds,Y,X,Evap_tavg,LWdown_f_tavg,Lwnet_tavg,Psurf_f_tavg,Qair_f_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qs_tavg,RadT_tavg,Rainf_f_tavg,SWdown_f_tavg,Swnet_tavg,Tair_f_tavg,Wind_f_tavg,SoilMoi00_10cm_tavg,SoilMoi10_40cm_tavg,SoilMoi40_100cm_tavg,SoilMoi100_200cm_tavg,SoilTemp00_10cm_tavg,SoilTemp10_40cm_tavg,SoilTemp40_100cm_tavg,SoilTemp100_200cm_tavg,vim,viq,SPI_Cum1,SPI_Cum3,SPI_Cum6,year,month,is_sowing_window,is_flowering_window,is_harvest_window,is_lean_season,peak_ndvi_month,months_from_peak,is_dry_month,consecutive_dry_months,stress_dry_sowing,stress_dry_flowering,rain_anomaly,stress_flood_harvest,soil_anomaly,flood_severity_index,flooded_area_proxy,population_exposed_proxy,ndvi_anomaly,interact_ndvi_lean,interact_drought_lean
2023-01-01,Abia,0.2967741935483871,0.5,5.395,7.47188888888891,1.5726633873333334e-05,385.566324,-71.06469940000001,99941.2714,0.0136698788666666,1.5358582513333334,52.585289,39.33231073333333,3.7800246133333336e-08,300.2703673333333,3.902663473333334e-06,191.208362,163.9977,299.06720733333333,3.3695481333333333,0.2801458606666667,0.3644948806666666,0.3748068926666666,0.3891329986666667,300.1382186666667,299.6053253333333,299.12155533333333,298.7003726666666,0.5697903,101.51092,-0.690999984741211,-0.550999999046326,-1.96700000762939,2023,1,0,0,0,0,9,-8,0,0,0,0,-0.288295425702918,0,-0.5258895651499912,0.0,0.0,0.0,0.6480649186311185,0.0,-0.0
2023-02-01,Abia,0.4015151515151515,0.5,5.395,7.47188888888891,1.3672596066666668e-05,392.9345953333333,-69.75772453333333,99864.2976,0.0149216774,2.15202008,47.6258968,34.19516206666667,1.149507204e-07,301.2373666666666,6.528498506666667e-06,181.460198,153.22175666666666,299.8041006666666,3.586098253333333,0.2857491553333333,0.3577870733333333,0.3654460953333333,0.3758583533333333,301.087698,300.54969400000004,300.0191293333333,299.368246,0.59863484,100.31283,-1.83399999141693,-1.21899998188019,-1.98199999332428,2023,2,0,0,0,0,9,-7,1,1,0,0,-0.8963165551628981,0,0.1896613176294289,0.0,0.0,0.0,0.1399422063543523,0.0,-0.0
2023-03-01,Abia,0.2810457516339869,0.5,5.395,7.47188888888891,2.615361433333333e-05,408.719824,-44.99996506666666,99913.32993333334,0.0174231206666666,-0.60332269,9.506085966666664,65.410188,3.00414982e-06,299.58644666666663,5.75797768e-05,143.82182333333333,119.1768932,299.4799126666667,3.57609362,0.3790977746666666,0.382936884,0.3794336266666667,0.3783946246666667,299.6245426666667,299.76719933333334,299.8745926666667,299.740318,0.6832107,102.22308,0.749000012874603,-0.17399999499321,-0.374000012874603,2023,3,0,0,0,0,9,-6,0,0,0,0,0.6316691893804954,0,0.7070513560838662,0.4466225569478758,11.165563923696894,0.4466225569478758,0.7069892098466208,0.0,-0.0
2023-04-01,Abia,0.3006134969325153,0.5,5.395,7.47188888888891,2.98448568e-05,416.609924,-39.7765766,99798.0524,0.0181419136666666,0.3096719966666666,9.355003962,74.64198566666667,1.8146362786666669e-06,299.967226,3.620274506666667e-05,149.86435,123.94749993333332,299.79013000000003,3.786649093333333,0.3912251633333333,0.3933964406666667,0.3967231953333333,0.4036775353333333,299.950588,299.849166,299.700418,299.5254046666667,0.7511348,102.3356,-0.0509999990463257,-0.0189999993890524,-0.393999993801117,2023,4,0,0,0,0,9,-5,0,0,0,0,-1.0457341181271635,0,-0.4372026431371378,0.0,0.0,0.0,1.103567347577451,0.0,-0.0
2023-05-01,Abia,0.2266666666666666,0.5,5.395,7.47188888888891,3.873052373333334e-05,419.14575133333335,-35.24933933333333,99990.25006666666,0.0183498323333333,0.053511299,-0.0949355866666666,96.8650422,1.1469350313333334e-05,299.599042,9.6131452e-05,158.1576893333333,131.78757266666668,299.8461433333333,3.6142056,0.41096439,0.4116533873333333,0.413260942,0.4221545493333333,299.6041926666667,299.6397133333333,299.624382,299.50192400000003,0.7909052,102.097565,-0.294999986886978,0.0199999995529652,-0.388999998569489,2023,5,1,0,0,0,9,-4,0,0,0,0,0.5954965869122553,0,-1.0087660972808443,0.0,0.0,0.0,1.1222179676420083,0.0,0.0
2023-06-01,Abia,0.2635135135135135,0.5,5.395,7.47188888888891,3.754109733333333e-05,414.035768,-32.91089866666667,100154.13206666666,0.0177772096666666,-1.1267870066666668,0.1327943866666666,93.89028666666668,2.60251076e-05,298.350202,0.0001072956881333,150.66725466666668,125.55930873333334,298.49697733333335,4.16098338,0.4258423233333333,0.4292893226666666,0.438410338,0.463669084,298.46955866666667,298.90336066666663,299.13606,299.2608906666667,0.8067555,101.49323,1.36500000953674,0.739000022411346,0.565999984741211,2023,6,1,0,0,1,9,-3,0,0,0,0,-0.4291095269988799,0,0.1956462020284551,0.0,0.0,0.0,1.1544347809413618,1.1544347809413618,0.739000022411346
2023-07-01,Abia,0.4129032258064516,0.5,5.395,7.47188888888891,3.539942026666667e-05,414.8437846666666,-32.839541133333334,100215.25606666668,0.0178205613333333,-0.216793836,1.81394446,88.53394846666667,4.012331806666666e-05,298.466834,0.0001394172836666,148.4783833333333,122.64991366666666,298.58582533333333,3.982405153333333,0.4285069866666667,0.431788456,0.4406361299999999,0.4659586713333333,298.49283933333334,298.598522,298.69530933333334,298.8196106666667,0.80300903,100.22183,-0.462000012397766,0.36599999666214,0.301999986171722,2023,7,0,1,0,1,9,-2,0,0,0,0,0.8725659547117441,0,1.0972470571580488,0.9574204259837644,23.935510649594114,0.9574204259837644,1.144415244613267,1.144415244613267,0.36599999666214
2023-08-01,Abia,0.3354430379746835,0.5,5.395,7.47188888888891,3.5597958733333335e-05,412.16001733333337,-35.4148636,100157.42586666669,0.0175255665333333,-0.2290043,8.365231806666666,89.03049326666665,2.7066059533333336e-05,298.4775713333333,9.369099393333332e-05,161.08004466666668,132.36055466666667,298.42159266666664,4.113884026666667,0.4241548146666666,0.428168646,0.4383079073333333,0.46523195,298.4985913333333,298.553354,298.59069266666665,298.6101333333333,0.8052806,99.858116,-1.83399999141693,-0.839999973773956,-0.84799998998642,2023,8,0,1,0,1,9,-1,0,0,0,0,1.0027640857756506,0,1.1449961025703956,1.1481609700106858,28.704024250267143,1.1481609700106858,1.0429264488336276,1.0429264488336276,-0.839999973773956
2023-09-01,Abia,0.3493150684931507,0.5,5.395,7.47188888888891,3.821723126666666e-05,412.99617266666667,-35.078589666666666,100101.286,0.0177955244666666,0.0974906390866666,2.9827438513333333,95.58129246666668,5.628500846666667e-05,298.55772333333334,0.0001585344639999,162.99130666666667,133.38126666666668,298.6694306666667,4.014291773333333,0.4286276533333333,0.432013448,0.4409415666666667,0.4662724673333333,298.55222,298.54315933333334,298.535676,298.5116653333333,0.81403613,100.37872,-0.0659999996423721,-1.74800002574921,-1.01199996471405,2023,9,0,0,0,0,9,0,1,1,0,0,1.1095796143577257,0,0.8800129923619462,0.9764444766947564,24.41111191736891,0.9764444766947564,0.466967450648026,0.0,-0.0
2023-10-01,Abia,0.4025974025974026,0.5,5.395,7.47188888888891,3.39932736e-05,417.54675533333335,-32.12799813333333,100000.168,0.0181026922,0.389184462,-0.1875315500000001,85.0171778,2.7663342466666668e-05,298.78864733333336,0.0001119171653999,141.654212,117.00803226666667,299.05805266666664,3.38468606,0.4275714346666666,0.430976584,0.440217924,0.4664297873333333,298.757006,298.65944866666666,298.591852,298.50659533333334,0.80239415,101.667946,-0.289000004529953,-2.15000009536743,-0.952000021934509,2023,10,0,0,1,0,9,1,1,2,0,0,0.5345914896971583,0,0.6339729619652982,0.3389165501647486,8.472913754118716,0.3389165501647486,1.0213915200063248,0.0,-0.0
