State,LGA,Zone,livelihood_zone,cropland_pct,travel_time_mean_min,travel_time_p90_min
9. Cross River,905. BEKWARRA,5. South South,,,,
9. Cross River,906. BIASE,5. South South,,,,
9. Cross River,907. BOKI,5. South South,,,,
9. Cross River,908. CALABAR MUNICIPAL,5. South South,,,,
9. Cross River,909. CALABAR SOUTH,5. South South,,,,
9. Cross River,912. OBANLIKU,5. South South,,,,
9. Cross River,913. OBUBRA,5. South South,,,,
9. Cross River,914. OBUDU,5. South South,,,,
9. Cross River,915. ODUKPANI,5. South South,,,,
9. Cross River,917. YAKURR-UGEP NORTH,5. South South,,,,
9. Cross River,918. YALLA,5. South South,,,,
