time,NAME_1,inadequate,bnds,Y,X,Evap_tavg,LWdown_f_tavg,Lwnet_tavg,Psurf_f_tavg,Qair_f_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qs_tavg,RadT_tavg,Rainf_f_tavg,SWdown_f_tavg,Swnet_tavg,Tair_f_tavg,Wind_f_tavg,SoilMoi00_10cm_tavg,SoilMoi10_40cm_tavg,SoilMoi40_100cm_tavg,SoilMoi100_200cm_tavg,SoilTemp00_10cm_tavg,SoilTemp10_40cm_tavg,SoilTemp40_100cm_tavg,SoilTemp100_200cm_tavg,month,month_sin,month_cos,Rainf_f_tavg_roll3m_mean,Rainf_f_tavg_roll6m_mean,Rainf_f_tavg_lag1,Rainf_f_tavg_lag3,Rainf_f_tavg_lag6,SoilMoi00_10cm_tavg_roll3m_mean,SoilMoi00_10cm_tavg_roll6m_mean,SoilMoi00_10cm_tavg_lag1,SoilMoi00_10cm_tavg_lag3,SoilMoi00_10cm_tavg_lag6,SoilMoi10_40cm_tavg_roll3m_mean,SoilMoi10_40cm_tavg_roll6m_mean,SoilMoi10_40cm_tavg_lag1,SoilMoi10_40cm_tavg_lag3,SoilMoi10_40cm_tavg_lag6,Tair_f_tavg_roll3m_mean,Tair_f_tavg_roll6m_mean,Tair_f_tavg_lag1,Tair_f_tavg_lag3,Tair_f_tavg_lag6,Evap_tavg_roll3m_mean,Evap_tavg_roll6m_mean,Evap_tavg_lag1,Evap_tavg_lag3,Evap_tavg_lag6,Wind_f_tavg_roll3m_mean,Wind_f_tavg_roll6m_mean,Wind_f_tavg_lag1,Wind_f_tavg_lag3,Wind_f_tavg_lag6,SoilTemp00_10cm_tavg_roll3m_mean,SoilTemp00_10cm_tavg_roll6m_mean,SoilTemp00_10cm_tavg_lag1,SoilTemp00_10cm_tavg_lag3,SoilTemp00_10cm_tavg_lag6,target_plus_1m,target_plus_3m
2025-02-01,Gombe,0.7194244604316546,0.5,10.297319364353758,11.290996497572658,5.41491414e-06,336.149085,-127.3907269,96418.976,0.0038456472899999,3.70379534,67.6184702,13.542700450000002,3.362355e-10,302.06917400000003,2.10904221e-07,266.27347,211.811504,300.785263,7.318708030000001,0.146248689,0.311650551,0.321102909,0.352766868,301.771535,300.657464,299.666036,298.849765,2,0.8660254037844386,0.5000000000000001,3.209825595665311e-08,3.332082549464501e-05,5.70999667e-08,2.44777791e-08,8.24683854e-05,0.17133310633333332,0.2810204028333333,0.148385919,0.208321134,0.379728118,0.338963681,0.3661926505,0.322707193,0.356591348,0.377100179,296.420897,297.3278221666667,298.121207,295.909212,297.502122,1.5099754193333335e-05,3.2777015996666666e-05,8.011237430000001e-06,2.6006358e-05,4.76810731e-05,7.278668153333332,5.564523868333333,7.570667279999999,6.78020712,5.22540188,297.55541633333337,297.6348458333334,299.109839,297.052406,297.597698,0.7,0.3424657534246575
2025-03-01,Gombe,0.7,0.5,10.297319364353758,11.290996497572658,3.49410269e-06,344.975702,-144.104975,96290.62,0.00389353781,5.29115844,86.1553839,8.73875095,1.2261879833e-09,306.312451,1.692502378e-07,307.37736,243.60312800000003,304.802923,7.096787089999999,0.146418273,0.30565855,0.315223115,0.34750607,305.912014,304.357349,302.666613,300.834645,3,1.0,6.123233995736766e-17,9.424040325665311e-08,1.961124529814501e-05,2.10904221e-07,1.471702207e-08,8.11552728e-05,0.15064229133333332,0.24210716466666668,0.146248689,0.157292266,0.4060059729999999,0.3239834153333333,0.35528437916666666,0.311650551,0.337592502,0.406496363,298.0462473333334,297.87501233333336,300.785263,295.232272,298.28678,8.235939573333336e-06,2.573265617e-05,5.41491414e-06,1.128166715e-05,4.99325457e-05,7.458168456666667,5.913408226666667,7.318708030000001,7.48513006,2.99248549,299.1284593333333,298.33048533333334,301.771535,296.504004,297.537882,0.4056603773584906,0.5866666666666667
2025-04-01,Gombe,0.4056603773584906,0.5,10.297319364353758,11.290996497572658,8.21902868e-06,376.140503,-121.5516006,96216.1519,0.00741541133,3.6235895,86.26986000000001,20.5557913,2.0716229500000002e-07,307.391003,9.6006201e-06,288.127864,231.240727,305.978219,4.81688282,0.184951746,0.30259376,0.311948729,0.343294285,307.154775,306.234143,304.882708,303.121312,4,0.8660254037844387,-0.4999999999999998,1.4575147516665312e-07,6.1135748711116764e-06,1.692502378e-07,5.70999667e-08,3.6205e-05,0.14701762699999998,0.19884254799999998,0.146418273,0.148385919,0.386389007,0.3133387646666666,0.338478077,0.30565855,0.322707193,0.396668318,301.23646433333334,298.9610361666667,304.802923,298.121207,298.91534,5.640084753333336e-06,1.7992915668333335e-05,3.49410269e-06,8.011237430000001e-06,5.3749214600000005e-05,7.3287208,6.597458493333334,7.096787089999999,7.570667279999999,3.33325138,302.2644626666667,299.72617399999996,305.912014,299.109839,298.007246,0.3424657534246575,0.5579710144927537
2025-05-01,Gombe,0.3424657534246575,0.5,10.297319364353758,11.290996497572658,2.76340889e-05,398.990692,-94.4609705,96371.1756,0.0114656686,0.747940498,60.9848784,69.1128571,1.902980722e-06,306.403779,3.242630905e-05,274.445844,224.852571,305.465883,4.63636619,0.25117615,0.304592473,0.307172159,0.339801055,306.357525,306.121089,305.553988,304.46335,5,0.49999999999999994,-0.8660254037844387,3.32692485293332e-06,1.679511554445009e-06,9.6006201e-06,2.10904221e-07,2.44777791e-08,0.15920623599999997,0.16526967116666666,0.184951746,0.146248689,0.208321134,0.306634287,0.322798984,0.30259376,0.311650551,0.356591348,303.85546833333336,300.1381826666667,305.978219,300.785263,295.909212,5.709348503333335e-06,1.0404551348333334e-05,8.21902868e-06,5.41491414e-06,2.6006358e-05,6.410792646666667,6.8447303999999995,4.81688282,7.318708030000001,6.78020712,304.94610800000004,301.2507621666667,307.154775,301.771535,297.052406,0.5866666666666667,0.7333333333333333
2025-06-01,Gombe,0.5866666666666667,0.5,10.297319364353758,11.290996497572658,4.30994173e-05,400.595995,-66.70638629999999,96597.9465,0.0150301218,-3.23299947,23.4193955,107.7916411,1.34292962e-06,301.92695,4.61923365e-05,234.050473,194.5485,301.452698,4.87770433,0.309705631,0.315080886,0.302138789,0.336673033,302.154036,302.95764599999995,303.759672,304.153588,6,1.2246467991473532e-16,-1.0,1.4065393129266652e-05,7.079816766261675e-06,3.242630905e-05,1.692502378e-07,1.471702207e-08,0.19418205633333332,0.17241217383333332,0.25117615,0.146418273,0.157292266,0.3042815943333333,0.3141325048333333,0.304592473,0.30565855,0.337592502,305.415675,301.7309611666667,305.465883,304.802923,295.232272,1.3115740090000003e-05,1.0675839831666667e-05,2.76340889e-05,3.49410269e-06,1.128166715e-05,5.5166787,6.487423578333334,4.63636619,7.096787089999999,7.48513006,306.4747713333333,302.80161533333336,306.357525,305.912014,296.504004,0.5579710144927537,0.8066666666666666
2025-07-01,Gombe,0.5579710144927537,0.5,10.297319364353758,11.290996497572658,4.40822817e-05,397.37412,-48.916376,96739.2524,0.0157780947,-3.68817866,9.48140795,110.2497895,3.37048937e-06,298.266391,6.86848942e-05,197.719264,164.79211500000002,298.378735,4.24354964,0.357058806,0.353778121,0.326128438,0.336271015,298.583564,299.833601,300.983367,302.149986,7,-0.4999999999999997,-0.8660254037844388,2.9406421883333318e-05,1.4776086679250009e-05,4.61923365e-05,9.6006201e-06,5.70999667e-08,0.24861117566666666,0.1978144013333333,0.309705631,0.184951746,0.148385919,0.307422373,0.3103805688333333,0.315080886,0.30259376,0.322707193,304.29893333333337,302.7676988333333,301.452698,305.978219,298.121207,2.6317511626666664e-05,1.597879819e-05,4.30994173e-05,8.21902868e-06,8.011237430000001e-06,4.776984446666667,6.052852623333333,4.87770433,4.81688282,7.570667279999999,305.222112,303.7432873333333,302.154036,307.154775,299.109839,0.7333333333333333,0.8354430379746836
2025-08-01,Gombe,0.7333333333333333,0.5,10.297319364353758,11.290996497572658,5.03958785e-05,398.128817,-42.7143655,96704.9635,0.015668301,-2.64171795,1.28455054,126.0400903,5.91814671e-06,297.229785,8.3339306e-05,200.043115,167.179117,297.759073,3.82397761,0.386558215,0.384760053,0.374631147,0.363494169,297.513987,298.592083,299.355903,300.233115,8,-0.8660254037844385,-0.5000000000000004,4.910117991666665e-05,2.621405238480001e-05,6.86848942e-05,3.242630905e-05,2.10904221e-07,0.3059801956666666,0.23259321583333334,0.357058806,0.25117615,0.146248689,0.32448382666666664,0.3155590568333333,0.353778121,0.304592473,0.311650551,301.765772,302.81062016666664,298.378735,305.465883,300.785263,3.82719293e-05,2.1990638901666667e-05,4.40822817e-05,2.76340889e-05,5.41491414e-06,4.585873386666667,5.498333016666667,4.24354964,4.63636619,7.318708030000001,302.3650416666667,303.65557483333333,298.583564,306.357525,301.771535,0.8066666666666666,0.9058823529411764
2025-09-01,Gombe,0.8066666666666666,0.5,10.297319364353758,11.290996497572658,5.1627744900000005e-05,400.878867,-41.7643896,96699.8235,0.0158962637999999,-0.8637884830000001,0.407152254,129.120985,5.66405209e-06,297.502225,7.82858819e-05,202.775851,170.03483699999998,298.56054800000004,2.75491283,0.402948798,0.4032832329999999,0.403225358,0.407678208,297.600345,298.071486,298.48864100000003,299.087434,9,-1.0,-1.8369701987210297e-16,6.607217889999998e-05,4.006878601463335e-05,8.3339306e-05,4.61923365e-05,1.692502378e-07,0.3511075506666666,0.2726448035,0.386558215,0.309705631,0.146418273,0.35120635333333333,0.32774397383333337,0.384760053,0.315080886,0.30565855,299.19683533333335,302.3062551666667,297.759073,301.452698,304.802923,4.58591925e-05,2.9487466295000002e-05,5.03958785e-05,4.30994173e-05,3.49410269e-06,4.315077193333334,4.915877946666666,3.82397761,4.87770433,7.096787089999999,299.4171956666667,302.9459835,297.513987,302.154036,305.912014,0.8354430379746836,0.8333333333333334
2023-01-01,Jigawa,0.5253164556962026,0.5,12.306263227513227,9.453793423654558,6.709857381481482e-06,312.4641237037037,-115.78798896296296,96849.82681481482,0.0040045187407407,1.0209943303703704,37.386882703703705,16.781353185185186,1.056860403962963e-12,295.9731414814815,3.082375349629629e-09,234.6296625925926,170.6477033333333,295.5426325925925,6.106961862962963,0.1473503196296296,0.3310736411111111,0.3378514055555555,0.3599944366666666,295.88925,295.73415925925923,296.01003555555553,296.9674096296296,1,0.49999999999999994,0.8660254037844387,1.000855001114053e-07,9.49623121690757e-06,3.082375349629629e-09,3.082375349629629e-09,3.082375349629629e-09,0.14593080246913573,0.18195989228395057,0.1473503196296296,0.1473503196296296,0.1473503196296296,0.3196864781481481,0.3147281210493827,0.3310736411111111,0.3310736411111111,0.3310736411111111,298.6135275308642,301.56089864197526,295.5426325925925,295.5426325925925,295.5426325925925,6.1333776209876575e-06,1.06506017e-05,6.709857381481482e-06,6.709857381481482e-06,6.709857381481482e-06,6.2218068086419756,5.256208438271605,6.106961862962963,6.106961862962963,6.106961862962963,299.10987604938276,302.12538160493824,295.88925,295.88925,295.88925,0.5833333333333334,0.5032679738562091
2023-02-01,Jigawa,0.5833333333333334,0.5,12.306263227513227,9.453793423654558,6.475789818518518e-06,317.0999825925926,-125.33044692592593,96765.70133333332,0.0033613277296296,1.1838176425925926,44.89494218518518,16.19595025925926,1.0482920430976369e-11,298.5140559259259,1.5066428900663915e-08,260.3704074074074,187.33259962962964,297.70877962962965,7.024418981481482,0.1447062759259259,0.3193097955555555,0.3269772274074074,0.3532218085185185,298.4180655555556,298.0550596296296,297.73551481481485,297.46634777777774,2,0.8660254037844386,0.5000000000000001,1.000855001114053e-07,9.49623121690757e-06,3.082375349629629e-09,3.082375349629629e-09,3.082375349629629e-09,0.14593080246913573,0.18195989228395057,0.1473503196296296,0.1473503196296296,0.1473503196296296,0.3196864781481481,0.3147281210493827,0.3310736411111111,0.3310736411111111,0.3310736411111111,298.6135275308642,301.56089864197526,295.5426325925925,295.5426325925925,295.5426325925925,6.1333776209876575e-06,1.06506017e-05,6.709857381481482e-06,6.709857381481482e-06,6.709857381481482e-06,6.2218068086419756,5.256208438271605,6.106961862962963,6.106961862962963,6.106961862962963,299.10987604938276,302.12538160493824,295.88925,295.88925,295.88925,0.5660377358490566,0.5032258064516129
